timestamp_milli,exec_time_milli
0.001,20.792
51.895,16.045
75.347,5.881
86.919,5.656
98.687,6.711
110.752,5.385
121.632,5.737
132.988,5.268
143.332,5.208
153.887,5.513
164.498,5.105
174.917,5.164
185.451,5.146
195.863,5.862
207.215,5.665
218.143,5.388
228.729,5.554
239.402,5.462
250.258,5.358
261.192,12.979
284.815,11.203
307.347,11.146
329.372,10.862
351.717,10.979
373.123,11.030
394.289,11.729
417.339,10.807
439.473,10.483
462.344,11.005
484.215,11.000
508.891,24.600
549.917,12.273
575.284,10.444
597.645,11.169
617.348,9.683
635.682,7.758
652.142,8.261
669.057,8.227
685.514,8.379
702.174,8.353
718.505,8.234
734.797,8.564
751.603,26.871
794.707,29.161
832.970,20.704
874.618,27.252
914.361,14.012
945.545,15.510
975.388,20.151
1011.811,12.509
1042.369,10.857
1063.843,10.868
1081.865,7.281
1095.312,6.033
1107.737,6.756
1120.300,5.586
1131.598,5.843
1142.944,5.489
1153.960,5.183
1164.362,5.543
1175.539,5.323
1186.483,5.733
1197.706,5.384
1208.240,5.334
1219.026,5.371
1230.076,5.499
1241.268,5.676
1252.809,5.494
1263.660,5.281
1274.511,5.409
1285.285,5.271
1295.736,5.278
1306.462,5.542
1318.241,12.747
1343.711,12.874
1369.364,13.141
1395.218,12.619
1420.988,13.311
1446.611,12.443
1472.068,13.912
1498.284,9.015
1514.334,6.390
1527.219,6.932
1540.447,6.136
1552.845,6.579
1565.813,7.050
1585.304,12.817
1610.613,12.590
1636.542,8.618
1651.642,6.599
1664.304,5.847
1675.679,7.299
1688.735,5.889
1700.525,6.251
1712.931,6.093
1724.478,5.686
1735.807,5.908
1747.589,9.067
1773.688,13.961
1799.387,20.297
1835.897,17.261
1869.426,18.327
1896.488,27.145
1942.729,20.845
1983.574,22.296
2015.940,15.444
2051.090,9.320
2069.035,8.154
2083.206,6.031
2095.101,6.213
2106.957,5.842
2118.139,5.497
2128.862,5.535
2139.557,5.429
2150.281,5.555
2161.426,13.147
2186.650,12.848
2213.086,12.228
2238.179,12.610
2263.453,14.421
2290.812,13.575
2321.153,12.772
2347.954,13.629
2374.180,12.593
2399.400,14.954
2427.872,14.516
2456.704,13.032
2482.043,12.266
2507.118,13.215
2533.164,12.646
2558.320,12.834
2583.399,13.083
2609.233,12.355
2634.062,12.691
2656.158,9.058
2677.060,9.538
2695.203,7.577
2710.305,7.676
2725.341,7.646
2740.390,7.620
2755.528,7.789
2797.208,25.345
2859.533,35.068
2906.248,43.970
2969.526,50.026
3031.893,21.537
3062.475,14.173
3099.615,13.271
3119.267,6.485
3133.097,5.710
3144.349,5.556
3156.311,5.436
3166.967,5.451
3178.189,5.463
3188.850,5.208
3199.643,5.458
3210.628,5.296
3221.674,5.294
3232.575,5.701
3243.388,5.200
3253.788,5.616
3264.868,5.257
3275.716,5.510
3286.516,5.270
3297.266,5.352
3308.381,5.384
3319.138,5.733
3330.149,5.749
3349.867,14.456
3378.056,14.158
3406.357,13.846
3434.282,15.351
3465.232,14.111
3494.147,13.977
3522.504,14.410
3551.020,14.315
3579.110,11.803
3599.445,7.660
3615.070,8.284
3631.400,7.581
3647.308,14.090
3670.136,7.664
3684.463,5.717
3695.877,5.863
3707.606,6.229
3726.701,9.184
3742.618,6.743
3755.507,5.627
3767.527,25.485
3831.033,20.882
3863.248,32.602
3904.474,31.463
3963.880,18.262
4011.794,16.031
4037.291,17.108
4071.861,26.487
4108.515,16.245
4138.730,9.303
4159.322,7.085
4171.787,5.975
4183.265,6.169
4194.814,5.487
4206.593,6.777
4219.027,5.582
4230.397,4.982
4240.718,5.378
4251.351,5.080
4261.872,5.607
4272.836,7.257
4285.452,5.730
4296.948,5.636
4308.110,5.768
4319.428,5.377
4330.449,5.328
4341.283,5.463
4352.483,5.657
4363.703,5.467
4374.675,5.300
4385.566,5.706
4396.977,5.513
4407.689,5.384
4418.357,5.275
4429.132,5.624
4440.170,5.277
4450.780,5.416
4461.506,5.311
4472.107,5.926
4483.455,5.696
