timestamp_milli,exec_time_milli
0.002,31.749
31.760,16.514
48.283,10.189
58.480,8.212
66.694,6.105
72.804,5.477
78.284,5.008
83.296,5.421
88.720,5.097
93.823,5.145
98.970,5.177
104.150,5.195
109.348,7.929
117.281,11.129
128.413,6.475
134.891,6.750
141.643,5.010
146.680,5.509
152.192,4.959
157.153,5.501
162.657,5.225
167.885,5.659
173.549,4.987
178.540,5.076
183.619,5.105
188.727,5.255
193.985,5.128
199.115,5.160
204.278,5.298
209.579,4.998
214.579,4.922
219.505,5.010
224.518,5.258
229.781,5.062
234.846,5.054
239.903,5.110
245.017,5.298
250.318,4.907
255.227,5.129
260.360,5.287
265.651,5.108
270.762,5.316
276.081,5.167
281.251,4.944
286.197,4.911
291.111,5.055
296.168,4.912
301.084,5.311
306.398,4.949
311.349,4.975
316.327,5.267
321.596,5.022
326.621,5.034
331.658,5.106
336.766,5.166
341.935,4.872
346.811,5.226
352.040,4.653
356.695,4.932
361.630,4.770
366.403,4.781
371.187,4.713
375.904,4.818
380.725,4.628
385.357,4.807
390.169,19.644
409.816,14.522
424.342,10.571
434.916,7.479
442.399,9.552
451.954,29.923
481.880,16.214
498.098,18.061
516.162,12.288
528.455,11.462
539.920,23.980
563.903,26.406
590.313,19.975
610.292,17.686
627.983,17.646
645.633,38.400
684.035,25.720
709.759,23.005
732.767,11.853
744.627,10.415
755.046,7.173
762.222,8.366
770.592,6.922
777.516,5.239
782.758,7.999
790.760,6.618
797.382,6.180
803.564,6.849
810.417,10.518
820.941,9.427
830.371,6.369
836.744,5.961
842.711,4.947
847.661,5.104
852.769,6.925
859.696,9.034
868.733,12.018
880.755,5.242
885.999,4.932
890.935,5.063
896.002,4.870
900.874,5.295
906.171,4.874
911.047,4.818
915.868,4.779
920.650,5.173
925.825,4.752
930.580,4.820
935.403,4.862
940.268,5.011
945.281,4.912
950.196,4.754
954.951,5.028
959.982,4.723
964.707,4.939
969.649,4.785
974.436,4.810
979.251,4.772
984.025,5.004
989.032,5.111
994.146,5.651
999.801,5.070
1004.872,5.081
1009.957,4.745
1014.706,5.200
1019.909,4.912
1024.824,4.838
1029.666,4.913
1034.582,5.502
1040.088,4.835
1044.926,5.174
1050.103,5.616
1055.722,5.063
1060.789,4.880
1065.673,5.536
1071.211,4.837
1076.051,4.923
1080.976,5.812
1086.792,7.441
1094.237,6.294
1100.534,5.357
1105.893,5.131
1111.027,5.340
1116.370,6.819
1123.193,5.730
1128.925,4.970
1133.897,6.598
1140.500,5.320
1145.823,5.132
1150.959,5.133
1156.094,5.016
1161.113,5.401
1166.518,5.118
1171.639,5.325
1176.967,4.914
1181.883,5.144
1187.030,4.826
1191.859,5.293
1197.156,5.439
1202.598,4.860
1207.462,5.002
1212.468,5.441
1217.911,7.743
1225.659,5.512
1231.173,5.442
1236.619,7.121
1243.742,4.945
1248.690,5.268
1253.960,5.610
1259.573,5.040
1264.616,5.460
1270.079,5.262
1275.344,4.876
1280.223,5.440
1285.666,5.428
1291.097,4.818
1295.917,5.006
1300.927,5.046
1305.976,4.960
1310.939,4.890
1315.831,5.113
1320.946,4.826
1325.775,5.016
1330.794,5.048
1335.845,4.934
1340.783,4.864
1345.649,4.806
1350.459,5.954
1356.416,4.588
1361.006,5.157
1366.166,5.050
1371.220,5.110
1376.332,4.656
1380.990,5.117
1386.110,4.946
1391.060,8.012
1399.075,8.852
1407.930,7.848
1415.782,5.712
1421.497,5.259
1426.759,5.766
1432.529,8.612
1441.144,15.455
1456.602,29.483
1486.088,16.439
1502.531,15.021
1517.554,16.747
1534.305,18.616
1552.924,18.710
1571.637,39.973
1611.613,11.040
1622.657,19.281
1641.942,29.641
1671.587,7.460
1679.050,17.531
1696.584,8.318
1704.906,13.634
1718.542,21.521
1740.066,23.483
1763.552,11.688
1775.243,10.083
1785.329,12.161
1797.493,8.296
1805.793,6.168
1811.964,4.969
1816.935,7.135
1824.073,5.048
1829.123,4.985
1834.117,5.035
1839.155,4.883
1844.041,5.014
1849.058,5.012
1854.073,5.225
1859.301,4.705
1864.009,5.395
