timestamp_milli,exec_time_milli
0.001,4.413
4.420,4.027
8.453,4.211
12.670,9.328
22.003,4.941
26.949,6.012
32.969,4.715
37.687,4.222
41.913,4.869
46.790,5.506
52.299,4.068
56.371,4.176
60.550,4.209
64.762,4.293
69.058,4.207
73.268,4.123
77.394,3.989
81.389,5.276
86.669,4.068
90.739,4.238
94.980,4.128
99.112,4.196
103.311,4.199
107.591,4.049
111.642,4.000
115.646,4.176
119.825,4.129
123.957,4.036
127.996,3.975
131.973,4.270
136.247,4.110
140.359,4.003
144.365,4.037
148.408,4.044
152.455,4.052
156.510,4.065
160.579,4.467
165.049,4.271
169.323,4.312
173.639,4.032
177.674,4.150
181.827,4.133
185.962,4.318
190.283,4.181
194.467,4.009
198.479,4.303
202.784,4.069
206.856,4.080
210.939,4.014
214.956,4.342
219.301,4.153
223.457,4.128
227.588,4.064
231.655,4.158
235.817,4.162
239.983,3.981
243.966,3.801
247.771,3.983
251.757,4.156
255.916,3.840
259.758,4.138
263.900,4.241
268.144,3.988
272.136,3.891
276.030,4.062
280.097,4.058
284.159,3.805
287.966,3.964
291.933,3.812
295.748,3.991
299.742,4.034
303.779,4.082
307.864,3.985
311.851,3.990
315.844,3.813
319.660,4.155
323.818,3.780
327.600,4.016
331.619,3.895
335.518,3.871
339.391,3.971
343.364,4.006
347.373,4.035
351.411,3.805
355.219,4.001
359.223,4.092
363.318,4.061
367.382,4.164
371.548,4.037
375.588,4.184
379.775,16.180
395.958,7.624
403.585,5.416
409.004,7.688
416.695,7.599
424.298,7.489
431.790,9.456
441.250,7.704
448.958,7.349
456.311,7.266
463.580,25.422
489.005,15.489
504.496,9.031
513.531,15.176
528.716,6.207
534.926,19.689
554.617,6.025
560.645,24.356
585.005,11.874
596.882,6.089
602.974,11.575
614.553,22.408
636.964,8.006
644.973,6.090
651.066,16.430
667.499,6.113
673.615,15.430
689.048,6.346
695.398,9.581
704.983,7.080
712.067,7.681
719.750,4.489
724.243,4.461
728.707,4.525
733.235,4.673
737.911,4.755
742.670,4.651
747.324,4.641
751.968,5.480
757.461,4.077
761.542,3.989
765.533,4.088
769.624,3.928
773.554,4.048
777.605,4.258
781.867,3.982
785.852,4.065
789.920,4.181
794.104,3.876
797.983,3.917
801.903,4.204
806.110,4.104
810.216,4.102
814.322,4.234
818.558,4.030
822.591,3.894
826.487,4.076
830.566,3.974
834.544,3.970
838.517,4.048
842.568,4.077
846.648,4.137
850.789,4.027
854.819,4.235
859.056,3.955
863.014,7.361
870.379,4.050
874.432,4.934
879.369,5.070
884.441,3.966
888.410,3.997
892.411,3.900
896.313,3.941
900.257,3.858
904.126,3.977
908.106,3.856
911.969,3.894
915.866,4.074
919.943,3.881
923.827,3.822
927.652,3.831
931.486,4.194
935.683,3.956
939.642,3.735
943.380,3.973
947.355,3.806
951.164,3.897
955.065,4.010
959.077,3.842
962.922,3.998
966.922,3.937
970.862,5.932
976.798,4.686
981.507,4.326
985.837,4.414
990.253,4.082
994.339,4.012
998.354,3.961
1002.320,3.818
1006.141,3.950
1010.095,3.962
1014.060,4.174
1018.238,4.000
1022.241,3.835
1026.080,4.438
1030.521,4.200
1034.725,4.241
1038.969,4.235
1043.208,4.171
1047.381,4.042
1051.426,3.996
1055.425,4.103
1059.530,4.228
1063.762,3.904
1067.668,4.261
1071.932,3.926
1075.860,3.880
1079.744,3.969
1083.716,4.354
1088.073,3.925
1092.001,3.805
1095.809,4.120
1099.932,4.071
1104.007,4.018
1108.029,3.838
1111.870,3.852
1115.725,3.849
1119.577,4.158
1123.741,3.974
1127.717,3.820
1131.540,4.054
1135.597,3.962
1139.563,4.073
1143.639,3.923
1147.565,3.880
1151.448,4.004
1155.454,4.127
1159.583,3.705
1163.291,4.064
1167.359,3.977
1171.339,4.050
1175.392,4.068
1179.463,3.776
1183.243,3.755
1187.001,4.177
1191.182,3.820
1195.005,4.097
1199.105,3.982
1203.090,3.966
1207.059,4.222
1211.284,3.951
1215.238,4.227
1219.467,3.874
1223.344,3.960
1227.308,3.956
1231.266,4.094
1235.363,3.939
1239.306,4.040
1243.348,3.837
1247.188,3.827
1251.018,3.838
1254.859,3.993
1258.855,3.824
1262.683,4.180
1266.866,4.041
1270.910,3.770
1274.683,4.084
1278.781,3.985
1282.769,4.024
1286.796,4.097
1290.906,3.964
1294.873,4.299
1299.175,4.113
1303.291,4.047
1307.340,3.914
1311.257,4.038
1315.298,3.885
1319.186,3.735
1322.923,4.196
1327.122,4.224
1331.350,3.998
1335.351,4.060
1339.414,3.851
1343.268,3.984
1347.254,4.011
1351.268,3.776
1355.047,4.033
1359.083,3.842
1362.927,4.073
1367.004,4.071
1371.077,4.121
1375.202,3.987
1379.191,3.936
1383.137,12.388
1395.527,27.732
1423.263,45.147
1468.413,28.567
1496.984,20.355
1517.342,19.080
1536.425,16.726
1553.154,18.452
1571.610,21.827
1593.441,12.452
1605.896,22.997
1628.896,8.563
1637.463,10.740
1648.206,9.386
1657.596,6.354
1663.954,5.267
1669.225,5.843
1675.070,4.405
1679.478,4.446
1683.928,4.794
1688.725,4.944
1693.672,5.186
1698.862,4.754
1703.619,4.493
1708.115,4.068
1712.185,3.999
1716.187,4.191
1720.381,3.979
1724.363,3.985
1728.353,4.202
1732.558,3.863
1736.424,3.956
1740.382,4.055
1744.441,3.884
1748.328,3.924
1752.255,3.992
1756.250,4.035
1760.289,3.838
1764.130,3.951
