timestamp_milli,exec_time_milli
10.005,5.602
23.641,5.778
36.454,5.854
48.112,5.735
64.161,8.611
78.385,6.125
90.122,5.523
101.562,13.074
127.068,14.735
159.917,16.327
195.208,13.525
221.157,12.803
246.779,12.863
291.548,27.351
330.832,13.668
354.834,6.242
370.038,7.510
394.240,12.034
424.396,27.447
475.174,22.080
534.626,17.005
561.850,33.588
614.379,20.244
658.363,16.292
688.201,12.251
711.370,6.523
723.642,5.705
735.360,5.579
746.408,5.990
761.418,13.426
785.184,9.285
803.987,12.064
827.644,12.328
849.678,9.587
869.211,9.267
888.797,9.705
907.699,14.629
937.127,10.972
959.425,10.984
986.324,10.215
1007.590,9.799
1028.284,11.817
1051.671,9.763
1071.296,14.881
1107.696,14.959
1136.906,7.311
1151.725,6.735
1165.881,15.568
1195.335,13.439
1221.354,14.523
1253.846,12.712
1297.252,30.596
1363.482,30.268
1425.121,28.724
1475.724,30.220
1523.305,31.218
1571.079,18.133
1603.615,19.824
1650.647,14.631
1673.202,6.076
1685.022,5.997
1696.778,6.778
1709.182,5.243
1721.555,6.180
1735.745,5.960
1755.284,15.709
1784.233,12.227
1811.643,19.118
1846.289,12.724
1871.742,13.038
1897.512,13.794
1931.654,22.637
1971.419,13.608
1995.731,12.567
2016.569,8.127
2032.874,7.337
2048.103,8.917
2064.368,7.563
2079.424,8.145
2099.112,9.206
2116.121,7.945
2131.792,7.660
2151.051,8.776
2170.803,10.165
2192.110,8.241
2208.100,8.528
2228.931,8.917
2245.536,7.765
2261.052,7.659
2276.396,16.394
2308.362,33.943
2373.404,58.869
2459.713,24.539
2503.683,19.793
2547.202,16.341
2575.384,12.656
2607.973,17.189
2636.150,15.011
2664.783,10.226
2685.311,9.008
2702.730,6.472
2715.589,6.005
2732.675,7.412
2746.757,7.678
2760.273,5.778
2771.457,5.474
2782.402,5.689
2793.419,5.144
2804.324,5.867
2816.533,5.294
2827.563,5.587
2842.158,7.035
2856.390,7.791
2871.534,5.425
2882.697,6.201
2895.983,5.587
2908.479,8.609
2925.408,8.513
2942.126,5.852
2955.006,5.623
2966.411,8.882
2980.781,7.094
2993.709,16.560
3024.990,15.446
3054.953,17.016
3090.448,12.490
3114.941,10.263
3133.421,8.038
3149.945,8.366
3166.640,7.787
3183.114,7.926
3199.024,7.829
3215.344,7.855
3231.625,7.819
3248.426,8.295
3268.026,9.871
3296.812,23.450
3347.111,18.133
3382.424,29.069
3428.079,17.451
3470.739,11.295
3496.056,19.440
3525.170,18.328
3562.952,16.580
3596.934,14.444
3621.413,6.565
3633.664,5.890
3645.035,6.309
3657.759,5.159
3668.529,5.251
3679.214,5.043
3689.829,13.120
3715.661,12.837
3743.002,13.951
3770.411,13.718
3797.631,13.849
3826.754,14.042
3855.465,14.600
3885.855,14.872
3914.152,14.926
3943.122,13.607
3971.787,13.711
3998.561,13.153
4026.372,13.403
4054.472,13.801
4082.672,12.723
4110.850,14.555
4139.545,14.079
4167.430,14.730
4195.159,14.267
4223.335,14.537
4252.229,15.417
4285.283,30.420
4327.676,11.797
4351.371,19.847
4381.386,22.583
4414.576,20.064
4448.658,13.594
4476.570,31.099
4524.429,11.568
4559.668,15.558
4595.519,19.962
4627.975,9.919
4648.356,15.324
4676.842,11.454
4695.755,7.003
4708.783,5.740
4720.653,6.279
4732.661,5.371
4743.496,5.842
4754.965,5.478
4766.082,5.176
4776.560,5.679
4788.036,5.238
4799.039,5.641
4810.342,5.589
4824.453,8.452
4841.447,5.652
4852.467,5.265
4863.207,5.495
4895.043,22.196
4945.587,18.145
4976.334,10.231
4997.786,7.264
5010.817,6.682
5025.182,5.547
5038.004,5.446
5049.348,5.716
5060.651,5.608
5071.716,5.432
5082.885,5.550
5093.857,6.296
5105.533,5.194
5117.516,6.866
5130.431,10.820
5147.390,7.362
5160.128,5.843
5171.778,5.309
5187.929,6.565
5201.187,6.250
5213.316,5.552
5224.581,5.578
5235.841,5.583
5247.263,5.413
5258.043,6.107
5269.518,5.670
5281.048,8.691
5297.776,8.718
5337.615,11.557
5359.563,8.976
5376.091,12.318
5398.015,11.929
5426.051,18.835
5463.540,23.960
5507.143,24.522
5554.017,22.300
5592.630,16.713
5627.522,13.370
5664.351,34.338
5710.974,11.008
5727.935,10.083
5746.927,8.778
5761.452,7.508
5775.861,6.100
5789.067,5.747
5800.496,5.581
5811.775,5.718
5823.148,5.387
5834.157,6.152
5845.760,5.880
5857.258,5.646
5868.653,5.575
5879.978,5.639
5891.343,5.763
5905.777,6.187
5919.079,5.585
5930.426,5.522
5941.727,5.796
5953.391,5.697
5964.766,5.589
5976.322,5.762
5987.658,5.921
6008.049,13.222
6035.036,13.159
6060.682,13.907
6093.691,13.679
6121.034,12.890
6147.609,15.723
6176.850,13.411
6200.520,15.591
6223.200,8.293
